index,nature,culture,traffic,sleep,food,shopping,inform,conv,kind,active,cost,busy,avg,city,Cluster
125,0.75,0.75,1.0,0.75,0.75,0.75,0.75,0.6666666666666666,0.9999999999999999,0.75,0.75,0.75,0.6666666666666666,서울특별시 중구,2
126,1.0,0.5,1.0,0.75,0.75,0.75,1.0,0.6666666666666666,0.6666666666666666,0.5,1.0,0.75,0.6666666666666666,서울특별시 중구,2
127,0.5,0.5,0.75,0.75,1.0,0.5,0.75,0.6666666666666666,0.6666666666666666,0.75,1.0,0.75,0.6666666666666666,서울특별시 중구,2
128,1.0,1.0,1.0,0.75,0.75,1.0,1.0,0.9999999999999999,0.6666666666666666,0.75,0.75,0.75,0.6666666666666666,서울특별시 중구,0
129,1.0,1.0,0.75,1.0,0.75,0.75,0.75,0.9999999999999999,0.6666666666666666,0.75,0.75,0.75,0.6666666666666666,서울특별시 중구,0
130,0.75,0.75,0.75,0.75,0.75,1.0,1.0,0.33333333333333337,0.6666666666666666,0.5,0.75,1.0,0.6666666666666666,서울특별시 중구,2
131,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.9999999999999999,0.9999999999999999,0.5,0.75,0.75,0.9999999999999999,서울특별시 중구,0
132,0.75,0.75,0.75,0.5,0.5,0.5,0.75,0.9999999999999999,0.33333333333333337,0.5,0.5,0.25,0.6666666666666666,서울특별시 중구,1
133,1.0,0.5,1.0,1.0,0.75,0.75,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.75,0.9999999999999999,서울특별시 중구,0
134,1.0,0.75,1.0,0.75,0.75,1.0,0.75,0.6666666666666666,0.9999999999999999,0.75,0.75,0.75,0.6666666666666666,서울특별시 중구,0
135,0.5,0.5,0.75,1.0,1.0,0.5,0.5,0.33333333333333337,0.33333333333333337,0.5,0.5,0.5,0.9999999999999999,서울특별시 중구,1
136,1.0,0.5,0.75,0.75,0.75,0.75,0.75,0.33333333333333337,0.6666666666666666,0.5,0.75,0.75,0.6666666666666666,서울특별시 중구,2
137,0.5,0.5,0.75,1.0,0.75,0.5,0.75,0.9999999999999999,0.9999999999999999,0.5,0.75,0.75,0.9999999999999999,서울특별시 중구,2
138,0.75,0.5,0.25,0.5,0.5,0.5,0.5,0.33333333333333337,0.33333333333333337,0.5,0.5,0.75,0.33333333333333337,서울특별시 중구,1
139,1.0,0.5,0.75,0.75,0.75,1.0,1.0,0.6666666666666666,0.9999999999999999,0.5,1.0,1.0,0.6666666666666666,서울특별시 중구,0
140,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.9999999999999999,0.6666666666666666,0.5,0.5,0.5,0.9999999999999999,서울특별시 중구,2
141,0.5,1.0,0.75,0.75,0.75,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.75,0.75,0.6666666666666666,서울특별시 중구,2
142,1.0,1.0,0.75,0.75,1.0,1.0,0.75,0.9999999999999999,0.6666666666666666,0.5,0.5,0.5,0.6666666666666666,서울특별시 중구,2
143,1.0,0.75,1.0,0.75,0.75,0.75,1.0,0.6666666666666666,0.9999999999999999,0.75,1.0,0.75,0.6666666666666666,서울특별시 중구,0
144,1.0,0.75,1.0,0.75,0.75,1.0,0.75,0.9999999999999999,0.6666666666666666,1.0,1.0,0.75,0.6666666666666666,서울특별시 중구,0
145,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.9999999999999999,0.6666666666666666,0.75,0.75,0.75,0.6666666666666666,서울특별시 중구,2
146,1.0,0.75,0.75,1.0,1.0,0.75,0.75,0.6666666666666666,0.6666666666666666,0.75,0.75,0.75,0.9999999999999999,서울특별시 중구,2
147,1.0,0.5,0.75,0.75,0.75,0.5,1.0,0.9999999999999999,0.9999999999999999,0.5,0.75,0.75,0.6666666666666666,서울특별시 중구,2
148,0.5,0.75,0.75,0.75,1.0,0.75,0.75,0.6666666666666666,0.33333333333333337,0.5,0.75,0.75,0.6666666666666666,서울특별시 중구,1
149,1.0,0.5,0.5,1.0,0.75,1.0,0.75,0.6666666666666666,0.6666666666666666,0.5,0.75,0.5,0.9999999999999999,서울특별시 중구,2
150,1.0,0.5,0.5,1.0,0.75,1.0,0.75,0.6666666666666666,0.6666666666666666,0.5,0.75,0.5,0.9999999999999999,서울특별시 중구,2
151,1.0,1.0,0.5,0.75,0.75,1.0,0.75,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.6666666666666666,서울특별시 중구,2
152,0.5,0.5,0.75,0.75,0.75,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,0.75,0.6666666666666666,서울특별시 중구,1
153,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.33333333333333337,0.6666666666666666,0.75,0.5,0.5,0.6666666666666666,서울특별시 중구,1
154,0.5,0.5,0.75,0.75,0.5,0.5,0.5,0.33333333333333337,0.6666666666666666,0.75,0.5,0.5,0.6666666666666666,서울특별시 중구,1
155,0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.6666666666666666,0.33333333333333337,0.75,0.75,0.75,0.6666666666666666,서울특별시 중구,1
156,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.6666666666666666,0.6666666666666666,0.5,0.75,0.75,0.6666666666666666,서울특별시 중구,2
157,1.0,1.0,0.75,0.75,0.75,0.5,1.0,0.9999999999999999,0.6666666666666666,0.75,0.75,1.0,0.6666666666666666,서울특별시 중구,0
158,1.0,1.0,0.75,0.75,0.75,0.75,0.75,0.6666666666666666,0.33333333333333337,0.5,0.75,0.75,0.6666666666666666,서울특별시 중구,2
159,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.6666666666666666,0.6666666666666666,0.5,0.5,0.75,0.6666666666666666,서울특별시 중구,2
160,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.9999999999999999,0.6666666666666666,0.75,0.75,0.75,0.6666666666666666,서울특별시 중구,2
161,0.75,0.5,0.5,0.75,0.75,0.75,0.5,0.33333333333333337,0.6666666666666666,0.5,0.5,0.5,0.6666666666666666,서울특별시 중구,1
162,0.75,0.75,1.0,0.75,0.75,0.75,0.75,0.33333333333333337,0.6666666666666666,0.75,0.75,0.75,0.6666666666666666,서울특별시 중구,2
163,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.6666666666666666,0.33333333333333337,0.5,0.75,0.5,0.6666666666666666,서울특별시 중구,1
164,0.75,0.5,0.75,0.5,0.75,0.75,0.5,0.6666666666666666,0.33333333333333337,0.5,0.5,0.25,0.6666666666666666,서울특별시 중구,1
165,0.5,0.5,0.25,0.75,0.5,1.0,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.6666666666666666,서울특별시 중구,1
166,1.0,1.0,0.25,1.0,0.5,1.0,1.0,0.9999999999999999,0.9999999999999999,0.5,0.75,0.75,0.9999999999999999,서울특별시 중구,0
167,1.0,0.5,0.75,0.75,1.0,0.75,0.75,0.9999999999999999,0.6666666666666666,0.75,0.75,1.0,0.6666666666666666,서울특별시 중구,0
168,1.0,0.75,1.0,0.75,0.75,0.75,0.75,0.6666666666666666,0.6666666666666666,1.0,0.75,0.75,0.6666666666666666,서울특별시 중구,2
169,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.5,0.5,1.0,0.9999999999999999,서울특별시 중구,0
