index,id,avg,nature,culture,traffic,sleep,food,shopping,inform,conv,kind,active,cost,busy,re,city
18635,3304354024A_163560,4,5,3,4,4.0,5,4,4,5,4,4,4,5,4,서울특별시 중구
19126,35012570211_49281,4,5,4,5,4.0,4,4,4,4,4,5,4,4,4,서울특별시 중구
2944,21140562021_265526,5,3,3,3,5.0,5,5,5,5,5,3,3,5,4,서울특별시 중구
18774,34011310091_48523,4,5,3,4,4.0,5,3,4,4,3,3,3,2,4,서울특별시 중구
18915,3404040180A_20812,4,4,4,3,5.0,4,4,3,4,4,3,3,4,5,서울특별시 중구
5233,24030630221_123886,4,4,4,5,4.0,4,4,4,5,4,4,4,5,4,서울특별시 중구
9474,3119262158A_127856,5,5,5,5,5.0,5,3,5,5,5,3,3,5,4,서울특별시 중구
22191,3901065332A_231210,4,3,3,4,4.0,4,5,3,3,3,3,4,4,4,서울특별시 중구
8318,3103056048A_101423,4,4,4,4,4.0,4,3,4,4,4,3,4,3,4,서울특별시 중구
9011,3110452007A_128845,4,4,4,4,4.0,4,3,4,4,4,3,3,4,4,서울특별시 중구
7559,2901011285A_13234,3,3,3,4,3.0,3,2,3,3,2,3,3,3,3,서울특별시 중구
21941,39010631411_27979,4,4,4,4,4.0,3,3,3,4,4,4,2,3,3,서울특별시 중구
11021,33350350101_19931,4,5,3,4,4.0,5,3,4,5,5,3,3,2,4,서울특별시 중구
9674,3123062130A_73590,4,3,3,5,4.0,4,5,5,4,4,4,4,5,4,서울특별시 중구
3783,22070751601_268186,4,4,5,4,4.0,4,3,4,4,4,3,2,2,4,서울특별시 중구
17366,2503062010A_155350,4,5,5,4,4.0,4,3,5,4,5,4,3,3,4,서울특별시 중구
17774,29010320121_123922,5,5,3,4,5.0,5,5,4,4,4,3,5,4,5,서울특별시 중구
9644,31230111041_100417,4,4,3,5,4.0,4,4,4,4,3,3,4,5,3,서울특별시 중구
17346,25030571961_186264,4,4,3,4,4.0,4,3,4,5,4,4,4,4,4,서울특별시 중구
17777,2901032027A_215516,5,4,3,4,5.0,5,3,4,4,5,4,3,4,5,서울특별시 중구
7856,2901060235A_243530,4,3,3,3,4.0,4,4,3,4,3,4,3,4,3,서울특별시 용산구
7912,3101154090A_13612,4,4,4,5,4.0,4,4,4,5,5,4,4,4,3,서울특별시 용산구
16603,2206061075A_6637,5,5,3,5,5.0,5,3,3,5,3,3,5,5,4,서울특별시 용산구
